keyword,time,value,precision,partial
le pen,2016-11-01,4,chat,
le pen,2016-11-02,4,chat,
le pen,2016-11-03,3,chat,
le pen,2016-11-04,3,chat,
le pen,2016-11-05,2,chat,
le pen,2016-11-06,2,chat,
le pen,2016-11-07,1,chat,
le pen,2016-11-08,3,chat,
le pen,2016-11-09,14,chat,
le pen,2016-11-10,6,chat,
le pen,2016-11-11,8,chat,
le pen,2016-11-12,4,chat,
le pen,2016-11-13,7,chat,
le pen,2016-11-14,6,chat,
le pen,2016-11-15,3,chat,
le pen,2016-11-16,20,chat,
le pen,2016-11-17,38,chat,
le pen,2016-11-18,12,chat,
le pen,2016-11-19,4,chat,
le pen,2016-11-20,7,chat,
le pen,2016-11-21,6,chat,
le pen,2016-11-22,5,chat,
le pen,2016-11-23,3,chat,
le pen,2016-11-24,5,chat,
le pen,2016-11-25,2,chat,
le pen,2016-11-26,4,chat,
le pen,2016-11-27,8,chat,
le pen,2016-11-28,5,chat,
le pen,2016-11-29,4,chat,
le pen,2016-11-30,3,chat,
le pen,2016-12-01,5,chat,
le pen,2016-12-02,4,chat,
le pen,2016-12-03,4,chat,
le pen,2016-12-04,3,chat,
le pen,2016-12-05,4,chat,
le pen,2016-12-06,3,chat,
le pen,2016-12-07,14,chat,
le pen,2016-12-08,29,chat,
le pen,2016-12-09,9,chat,
le pen,2016-12-10,7,chat,
le pen,2016-12-11,3,chat,
le pen,2016-12-12,3,chat,
le pen,2016-12-13,3,chat,
le pen,2016-12-14,3,chat,
le pen,2016-12-15,2,chat,
le pen,2016-12-16,2,chat,
le pen,2016-12-17,3,chat,
le pen,2016-12-18,2,chat,
le pen,2016-12-19,3,chat,
le pen,2016-12-20,5,chat,
le pen,2016-12-21,3,chat,
le pen,2016-12-22,13,chat,
le pen,2016-12-23,21,chat,
le pen,2016-12-24,12,chat,
le pen,2016-12-25,3,chat,
le pen,2016-12-26,5,chat,
le pen,2016-12-27,3,chat,
le pen,2016-12-28,4,chat,
le pen,2016-12-29,3,chat,
le pen,2016-12-30,2,chat,
le pen,2016-12-31,10,chat,
le pen,2017-01-01,2,chat,
le pen,2017-01-02,4,chat,
le pen,2017-01-03,24,chat,
le pen,2017-01-04,15,chat,
le pen,2017-01-05,7,chat,
le pen,2017-01-06,6,chat,
le pen,2017-01-07,5,chat,
le pen,2017-01-08,2,chat,
le pen,2017-01-09,3,chat,
le pen,2017-01-10,11,chat,
le pen,2017-01-11,10,chat,
le pen,2017-01-12,14,chat,
le pen,2017-01-13,44,chat,
le pen,2017-01-14,10,chat,
le pen,2017-01-15,3,chat,
le pen,2017-01-16,12,chat,
le pen,2017-01-17,8,chat,
le pen,2017-01-18,5,chat,
le pen,2017-01-19,4,chat,
le pen,2017-01-20,2,chat,
le pen,2017-01-21,10,chat,
le pen,2017-01-22,9,chat,
le pen,2017-01-23,5,chat,
le pen,2017-01-24,4,chat,
le pen,2017-01-25,9,chat,
le pen,2017-01-26,9,chat,
le pen,2017-01-27,15,chat,
le pen,2017-01-28,21,chat,
le pen,2017-01-29,10,chat,
le pen,2017-01-30,5,chat,
le pen,2017-01-31,35,chat,
le pen,2017-02-01,54,chat,
le pen,2017-02-02,34,chat,
le pen,2017-02-03,28,chat,
le pen,2017-02-04,30,chat,
le pen,2017-02-05,29,chat,
le pen,2017-02-06,19,chat,
le pen,2017-02-07,12,chat,
le pen,2017-02-08,9,chat,
le pen,2017-02-09,82,chat,
le pen,2017-02-10,100,chat,
le pen,2017-02-11,52,chat,
le pen,2017-02-12,42,chat,
le pen,2017-02-13,14,chat,
le pen,2017-02-14,11,chat,
le pen,2017-02-15,15,chat,
le pen,2017-02-16,14,chat,
le pen,2017-02-17,25,chat,
le pen,2017-02-18,32,chat,
le pen,2017-02-19,16,chat,
le pen,2017-02-20,15,chat,
le pen,2017-02-21,13,chat,
le pen,2017-02-22,13,chat,
le pen,2017-02-23,11,chat,
le pen,2017-02-24,7,chat,
le pen,2017-02-25,5,chat,
le pen,2017-02-26,14,chat,
le pen,2017-02-27,10,chat,
le pen,2017-02-28,9,chat,
le pen,2017-03-01,9,chat,
le pen,2017-03-02,14,chat,
le pen,2017-03-03,9,chat,
le pen,2017-03-04,8,chat,
le pen,2017-03-05,9,chat,
le pen,2017-03-06,6,chat,
le pen,2017-03-07,9,chat,
le pen,2017-03-08,6,chat,
le pen,2017-03-09,9,chat,
le pen,2017-03-10,5,chat,
le pen,2017-03-11,8,chat,
le pen,2017-03-12,7,chat,
le pen,2017-03-13,6,chat,
le pen,2017-03-14,5,chat,
le pen,2017-03-15,6,chat,
le pen,2017-03-16,8,chat,
le pen,2017-03-17,7,chat,
le pen,2017-03-18,6,chat,
le pen,2017-03-19,7,chat,
le pen,2017-03-20,12,chat,
le pen,2017-03-21,15,chat,
le pen,2017-03-22,7,chat,
le pen,2017-03-23,10,chat,
le pen,2017-03-24,10,chat,
le pen,2017-03-25,8,chat,
le pen,2017-03-26,10,chat,
le pen,2017-03-27,9,chat,
le pen,2017-03-28,12,chat,
le pen,2017-03-29,12,chat,
le pen,2017-03-30,7,chat,
le pen,2017-03-31,11,chat,
le pen,2017-04-01,10,chat,
le pen,2017-04-02,7,chat,
le pen,2017-04-03,11,chat,
le pen,2017-04-04,8,chat,
le pen,2017-04-05,10,chat,
le pen,2017-04-06,9,chat,
le pen,2017-04-07,6,chat,
le pen,2017-04-08,9,chat,
le pen,2017-04-09,10,chat,
le pen,2017-04-10,11,chat,
le pen,2017-04-11,10,chat,
le pen,2017-04-12,10,chat,
le pen,2017-04-13,12,chat,
le pen,2017-04-14,11,chat,
le pen,2017-04-15,9,chat,
le pen,2017-04-16,12,chat,
le pen,2017-04-17,14,chat,
le pen,2017-04-18,13,chat,
le pen,2017-04-19,19,chat,
le pen,2017-04-20,17,chat,
le pen,2017-04-21,12,chat,
le pen,2017-04-22,12,chat,
le pen,2017-04-23,37,chat,
le pen,2017-04-24,45,chat,
le pen,2017-04-25,42,chat,
le pen,2017-04-26,45,chat,
le pen,2017-04-27,33,chat,
le pen,2017-04-28,42,chat,
le pen,2017-04-29,32,chat,
le pen,2017-04-30,43,chat,
le pen,2017-05-01,33,chat,
le pen,2017-05-02,37,chat,
le pen,2017-05-03,80,chat,
le pen,2017-05-04,85,chat,
le pen,2017-05-05,51,chat,
le pen,2017-05-06,30,chat,
le pen,2017-05-07,57,chat,
le pen,2017-05-08,30,chat,
le pen,2017-05-09,12,chat,
le pen,2017-05-10,6,chat,
le pen,2017-05-11,4,chat,
le pen,2017-05-12,6,chat,
le pen,2017-05-13,5,chat,
le pen,2017-05-14,8,chat,
le pen,2017-05-15,5,chat,
le pen,2017-05-16,5,chat,
le pen,2017-05-17,2,chat,
le pen,2017-05-18,6,chat,
le pen,2017-05-19,5,chat,
le pen,2017-05-20,4,chat,
le pen,2017-05-21,3,chat,
le pen,2017-05-22,3,chat,
le pen,2017-05-23,1,chat,
le pen,2017-05-24,2,chat,
le pen,2017-05-25,3,chat,
le pen,2017-05-26,2,chat,
le pen,2017-05-27,5,chat,
le pen,2017-05-28,2,chat,
le pen,2017-05-29,2,chat,
le pen,2017-05-30,2,chat,
le pen,2017-05-31,1,chat,
le pen,2017-06-01,3,chat,
le pen,2017-06-02,2,chat,
le pen,2017-06-03,1,chat,
le pen,2017-06-04,2,chat,
le pen,2017-06-05,1,chat,
le pen,2017-06-06,2,chat,
le pen,2017-06-07,2,chat,
le pen,2017-06-08,2,chat,
le pen,2017-06-09,3,chat,
le pen,2017-06-10,5,chat,
le pen,2017-06-11,6,chat,
le pen,2017-06-12,1,chat,
le pen,2017-06-13,3,chat,
le pen,2017-06-14,2,chat,
le pen,2017-06-15,1,chat,
le pen,2017-06-16,2,chat,
le pen,2017-06-17,2,chat,
le pen,2017-06-18,7,chat,
le pen,2017-06-19,4,chat,
le pen,2017-06-20,2,chat,
le pen,2017-06-21,2,chat,
le pen,2017-06-22,3,chat,
le pen,2017-06-23,2,chat,
le pen,2017-06-24,2,chat,
le pen,2017-06-25,2,chat,
le pen,2017-06-26,1,chat,
le pen,2017-06-27,3,chat,
le pen,2017-06-28,1,chat,
le pen,2017-06-29,1,chat,
le pen,2017-06-30,2,chat,
le pen,2017-07-01,2,chat,
cheminade,2016-11-01,0.0,chenille,
cheminade,2016-11-02,0.0,chenille,
cheminade,2016-11-03,0.0,chenille,
cheminade,2016-11-04,0.0,chenille,
cheminade,2016-11-05,0.0,chenille,
cheminade,2016-11-06,0.0,chenille,
cheminade,2016-11-07,0.0,chenille,
cheminade,2016-11-08,0.0,chenille,
cheminade,2016-11-09,0.0,chenille,
cheminade,2016-11-10,0.0,chenille,
cheminade,2016-11-11,0.0,chenille,
cheminade,2016-11-12,0.0,chenille,
cheminade,2016-11-13,0.0,chenille,
cheminade,2016-11-14,0.0,chenille,
cheminade,2016-11-15,0.0,chenille,
cheminade,2016-11-16,0.0,chenille,
cheminade,2016-11-17,0.0,chenille,
cheminade,2016-11-18,0.0,chenille,
cheminade,2016-11-19,0.0,chenille,
cheminade,2016-11-20,0.0,chenille,
cheminade,2016-11-21,0.0,chenille,
cheminade,2016-11-22,0.0,chenille,
cheminade,2016-11-23,0.0,chenille,
cheminade,2016-11-24,0.0,chenille,
cheminade,2016-11-25,0.0,chenille,
cheminade,2016-11-26,0.0,chenille,
