keyword,time,value,precision,partial
fillon,2016-11-01,1,chat,
fillon,2016-11-02,1,chat,
fillon,2016-11-03,2,chat,
fillon,2016-11-04,2,chat,
fillon,2016-11-05,2,chat,
fillon,2016-11-06,5,chat,
fillon,2016-11-07,3,chat,
fillon,2016-11-08,2,chat,
fillon,2016-11-09,2,chat,
fillon,2016-11-10,2,chat,
fillon,2016-11-11,2,chat,
fillon,2016-11-12,4,chat,
fillon,2016-11-13,5,chat,
fillon,2016-11-14,7,chat,
fillon,2016-11-15,7,chat,
fillon,2016-11-16,7,chat,
fillon,2016-11-17,10,chat,
fillon,2016-11-18,14,chat,
fillon,2016-11-19,14,chat,
fillon,2016-11-20,83,chat,
fillon,2016-11-21,100,chat,
fillon,2016-11-22,46,chat,
fillon,2016-11-23,32,chat,
fillon,2016-11-24,44,chat,
fillon,2016-11-25,39,chat,
fillon,2016-11-26,22,chat,
fillon,2016-11-27,62,chat,
fillon,2016-11-28,45,chat,
fillon,2016-11-29,18,chat,
fillon,2016-11-30,11,chat,
fillon,2016-12-01,10,chat,
fillon,2016-12-02,8,chat,
fillon,2016-12-03,7,chat,
fillon,2016-12-04,5,chat,
fillon,2016-12-05,5,chat,
fillon,2016-12-06,4,chat,
fillon,2016-12-07,4,chat,
fillon,2016-12-08,3,chat,
fillon,2016-12-09,3,chat,
fillon,2016-12-10,3,chat,
fillon,2016-12-11,3,chat,
fillon,2016-12-12,3,chat,
fillon,2016-12-13,3,chat,
fillon,2016-12-14,3,chat,
fillon,2016-12-15,3,chat,
fillon,2016-12-16,2,chat,
fillon,2016-12-17,2,chat,
fillon,2016-12-18,2,chat,
fillon,2016-12-19,2,chat,
fillon,2016-12-20,2,chat,
fillon,2016-12-21,2,chat,
fillon,2016-12-22,2,chat,
fillon,2016-12-23,2,chat,
fillon,2016-12-24,2,chat,
fillon,2016-12-25,2,chat,
fillon,2016-12-26,2,chat,
fillon,2016-12-27,2,chat,
fillon,2016-12-28,2,chat,
fillon,2016-12-29,2,chat,
fillon,2016-12-30,1,chat,
fillon,2016-12-31,2,chat,
fillon,2017-01-01,2,chat,
fillon,2017-01-02,2,chat,
fillon,2017-01-03,3,chat,
fillon,2017-01-04,3,chat,
fillon,2017-01-05,3,chat,
fillon,2017-01-06,3,chat,
fillon,2017-01-07,2,chat,
fillon,2017-01-08,2,chat,
fillon,2017-01-09,3,chat,
fillon,2017-01-10,3,chat,
fillon,2017-01-11,3,chat,
fillon,2017-01-12,3,chat,
fillon,2017-01-13,2,chat,
fillon,2017-01-14,3,chat,
fillon,2017-01-15,3,chat,
fillon,2017-01-16,2,chat,
fillon,2017-01-17,3,chat,
fillon,2017-01-18,2,chat,
fillon,2017-01-19,3,chat,
fillon,2017-01-20,3,chat,
fillon,2017-01-21,2,chat,
fillon,2017-01-22,4,chat,
fillon,2017-01-23,4,chat,
fillon,2017-01-24,5,chat,
fillon,2017-01-25,15,chat,
fillon,2017-01-26,21,chat,
fillon,2017-01-27,25,chat,
fillon,2017-01-28,26,chat,
fillon,2017-01-29,31,chat,
fillon,2017-01-30,23,chat,
fillon,2017-01-31,34,chat,
fillon,2017-02-01,44,chat,
fillon,2017-02-02,51,chat,
fillon,2017-02-03,45,chat,
fillon,2017-02-04,34,chat,
fillon,2017-02-05,33,chat,
fillon,2017-02-06,71,chat,
fillon,2017-02-07,46,chat,
fillon,2017-02-08,33,chat,
fillon,2017-02-09,30,chat,
fillon,2017-02-10,25,chat,
fillon,2017-02-11,21,chat,
fillon,2017-02-12,22,chat,
fillon,2017-02-13,20,chat,
fillon,2017-02-14,20,chat,
fillon,2017-02-15,21,chat,
fillon,2017-02-16,24,chat,
fillon,2017-02-17,16,chat,
fillon,2017-02-18,14,chat,
fillon,2017-02-19,12,chat,
fillon,2017-02-20,12,chat,
fillon,2017-02-21,12,chat,
fillon,2017-02-22,10,chat,
fillon,2017-02-23,9,chat,
fillon,2017-02-24,13,chat,
fillon,2017-02-25,13,chat,
fillon,2017-02-26,9,chat,
fillon,2017-02-27,10,chat,
fillon,2017-02-28,9,chat,
fillon,2017-03-01,61,chat,
fillon,2017-03-02,37,chat,
fillon,2017-03-03,46,chat,
fillon,2017-03-04,42,chat,
fillon,2017-03-05,84,chat,
fillon,2017-03-06,41,chat,
fillon,2017-03-07,29,chat,
fillon,2017-03-08,18,chat,
fillon,2017-03-09,14,chat,
fillon,2017-03-10,13,chat,
fillon,2017-03-11,11,chat,
fillon,2017-03-12,18,chat,
fillon,2017-03-13,21,chat,
fillon,2017-03-14,32,chat,
fillon,2017-03-15,20,chat,
fillon,2017-03-16,16,chat,
fillon,2017-03-17,17,chat,
fillon,2017-03-18,14,chat,
fillon,2017-03-19,12,chat,
fillon,2017-03-20,18,chat,
fillon,2017-03-21,20,chat,
fillon,2017-03-22,23,chat,
fillon,2017-03-23,29,chat,
fillon,2017-03-24,52,chat,
fillon,2017-03-25,30,chat,
fillon,2017-03-26,21,chat,
fillon,2017-03-27,19,chat,
fillon,2017-03-28,20,chat,
fillon,2017-03-29,16,chat,
fillon,2017-03-30,17,chat,
fillon,2017-03-31,15,chat,
fillon,2017-04-01,14,chat,
fillon,2017-04-02,13,chat,
fillon,2017-04-03,17,chat,
fillon,2017-04-04,18,chat,
fillon,2017-04-05,19,chat,
fillon,2017-04-06,27,chat,
fillon,2017-04-07,24,chat,
fillon,2017-04-08,17,chat,
fillon,2017-04-09,21,chat,
fillon,2017-04-10,17,chat,
fillon,2017-04-11,18,chat,
fillon,2017-04-12,17,chat,
fillon,2017-04-13,16,chat,
fillon,2017-04-14,17,chat,
fillon,2017-04-15,17,chat,
fillon,2017-04-16,17,chat,
fillon,2017-04-17,21,chat,
fillon,2017-04-18,21,chat,
fillon,2017-04-19,20,chat,
fillon,2017-04-20,22,chat,
